"sex" "age" "prov" "n" "E"
"12933" "M" 4 "X65" 1 "6077"
"12934" "M" 5 "X65" 0 "6328.5"
"12935" "M" 6 "X65" 1 "6690.5"
"12936" "M" 7 "X65" 0 "6726"
"12937" "M" 8 "X65" 0 "6763.5"
"12938" "M" 9 "X65" 0 "6845.5"
"12939" "M" 10 "X65" 0 "6860"
"12940" "M" 11 "X65" 0 "6817"
"12941" "M" 12 "X65" 0 "6809.5"
"12942" "M" 13 "X65" 0 "6993.5"
"12943" "M" 14 "X65" 1 "7186.5"
"12944" "M" 15 "X65" 0 "7317.5"
"12945" "M" 16 "X65" 1 "7449.5"
"12946" "M" 17 "X65" 1 "7631.5"
"12947" "M" 18 "X65" 2 "7673.5"
"12948" "M" 19 "X65" 1 "7600.5"
"12949" "M" 20 "X65" 1 "7725"
"12950" "M" 21 "X65" 0 "7863"
"12951" "M" 22 "X65" 1 "7926"
"12952" "M" 23 "X65" 3 "8177"
"12953" "M" 24 "X65" 0 "8361"
"12954" "M" 25 "X65" 0 "8464.5"
"12955" "M" 26 "X65" 1 "8407"
"12956" "M" 27 "X65" 1 "8449"
"12957" "M" 28 "X65" 3 "8474.5"
"12958" "M" 29 "X65" 1 "8356"
"12959" "M" 30 "X65" 2 "8357"
"12960" "M" 31 "X65" 0 "8363"
"12961" "M" 32 "X65" 1 "8408"
"12962" "M" 33 "X65" 0 "8498"
"12963" "M" 34 "X65" 1 "8644"
"12964" "M" 35 "X65" 1 "8427"
"12965" "M" 36 "X65" 1 "8133"
"12966" "M" 37 "X65" 1 "8107"
"12967" "M" 38 "X65" 0 "8036.5"
"12968" "M" 39 "X65" 3 "7967.5"
"12969" "M" 40 "X65" 4 "7727"
"12970" "M" 41 "X65" 3 "7449"
"12971" "M" 42 "X65" 5 "7257.5"
"12972" "M" 43 "X65" 5 "7199.5"
"12973" "M" 44 "X65" 2 "7152"
"12974" "M" 45 "X65" 4 "6833.5"
"12975" "M" 46 "X65" 5 "6536.5"
"12976" "M" 47 "X65" 7 "6551.5"
"12977" "M" 48 "X65" 11 "6745"
"12978" "M" 49 "X65" 11 "6740.5"
"12979" "M" 50 "X65" 3 "6814"
"12980" "M" 51 "X65" 9 "6818.5"
"12981" "M" 52 "X65" 8 "6658.5"
"12982" "M" 53 "X65" 8 "5857.5"
"12983" "M" 54 "X65" 11 "4872.5"
"12984" "M" 55 "X65" 18 "4884.5"
"12985" "M" 56 "X65" 27 "5141.5"
"12986" "M" 57 "X65" 14 "5041"
"12987" "M" 58 "X65" 20 "5321"
"12988" "M" 59 "X65" 22 "5810"
"12989" "M" 60 "X65" 20 "5670"
"12990" "M" 61 "X65" 22 "5320.5"
"12991" "M" 62 "X65" 24 "5127.5"
"12992" "M" 63 "X65" 34 "5272.5"
"12993" "M" 64 "X65" 34 "5332"
"12994" "M" 65 "X65" 40 "5255.5"
"12995" "M" 66 "X65" 44 "5194.5"
"12996" "M" 67 "X65" 36 "5131"
"12997" "M" 68 "X65" 44 "5289.5"
"12998" "M" 69 "X65" 45 "5129"
"12999" "M" 70 "X65" 55 "4646.5"
"13000" "M" 71 "X65" 58 "4335.5"
"13001" "M" 72 "X65" 53 "4183.5"
"13002" "M" 73 "X65" 61 "3962.5"
"13003" "M" 74 "X65" 48 "3784.5"
"13004" "M" 75 "X65" 58 "3520.5"
"13005" "M" 76 "X65" 47 "3140.5"
"13006" "M" 77 "X65" 38 "2801.5"
"13007" "M" 78 "X65" 60 "2475"
"13008" "M" 79 "X65" 32 "1919.5"
"13009" "M" 80 "X65" 35 "1298"
"13010" "M" 81 "X65" 21 "1053"
"13011" "M" 82 "X65" 20 "1121.5"
"13012" "M" 83 "X65" 30 "1260.5"
"13013" "M" 84 "X65" 20 "1224.5"
"13014" "M" 85 "X65" 27 "1154"
"13015" "M" 86 "X65" 21 "1024"
"13016" "M" 87 "X65" 23 "800"
"13017" "M" 88 "X65" 21 "674.5"
"13018" "M" 89 "X65" 18 "559.5"
"13019" "M" 90 "X65" 14 "400"
"13020" "M" 91 "X65" 8 "281.5"
"13021" "M" 92 "X65" 3 "209"
"13022" "M" 93 "X65" 4 "168.5"
"13023" "M" 94 "X65" 2 "123.5"
"13024" "M" 95 "X65" 0 "83"
"13025" "M" 96 "X65" 0 "52.5"
"13026" "M" 97 "X65" 2 "38"
"13027" "M" 98 "X65" 1 "26.5"
"13028" "M" 99 "X65" 1 "17"
"13029" "M" 100 "X65" 1 "13.5"
"13131" "M" 0 "X66" 0 "1218.5"
"13132" "M" 1 "X66" 0 "1199.5"
"13133" "M" 2 "X66" 0 "1221.5"
"13134" "M" 3 "X66" 0 "1262.5"
"13135" "M" 4 "X66" 0 "1319.5"
"13136" "M" 5 "X66" 1 "1390.5"
"13137" "M" 6 "X66" 0 "1414"
"13138" "M" 7 "X66" 0 "1402.5"
"13139" "M" 8 "X66" 0 "1428"
"13140" "M" 9 "X66" 0 "1468"
"13141" "M" 10 "X66" 0 "1463"
"13142" "M" 11 "X66" 0 "1465.5"
"13143" "M" 12 "X66" 0 "1497"
"13144" "M" 13 "X66" 0 "1567"
"13145" "M" 14 "X66" 0 "1633.5"
"13146" "M" 15 "X66" 0 "1635"
"13147" "M" 16 "X66" 1 "1671.5"
"13148" "M" 17 "X66" 0 "1780"
"13149" "M" 18 "X66" 0 "1790"
"13150" "M" 19 "X66" 0 "1826"
"13151" "M" 20 "X66" 0 "1916.5"
"13152" "M" 21 "X66" 0 "1946"
"13153" "M" 22 "X66" 0 "2006.5"
"13154" "M" 23 "X66" 0 "2078"
"13155" "M" 24 "X66" 0 "2143"
"13156" "M" 25 "X66" 0 "2103.5"
"13157" "M" 26 "X66" 0 "2043.5"
"13158" "M" 27 "X66" 0 "2147.5"
"13159" "M" 28 "X66" 0 "2203.5"
"13160" "M" 29 "X66" 0 "2239"
"13161" "M" 30 "X66" 1 "2236.5"
"13162" "M" 31 "X66" 0 "2188.5"
"13163" "M" 32 "X66" 0 "2269"
"13164" "M" 33 "X66" 1 "2318"
"13165" "M" 34 "X66" 1 "2359"
"13166" "M" 35 "X66" 1 "2386"
"13167" "M" 36 "X66" 1 "2297.5"
"13168" "M" 37 "X66" 0 "2255.5"
"13169" "M" 38 "X66" 1 "2230"
"13170" "M" 39 "X66" 0 "2215"
"13171" "M" 40 "X66" 0 "2153.5"
"13172" "M" 41 "X66" 1 "2107.5"
"13173" "M" 42 "X66" 1 "2149.5"
"13174" "M" 43 "X66" 1 "2148.5"
"13175" "M" 44 "X66" 4 "2144"
"13176" "M" 45 "X66" 0 "2116"
"13177" "M" 46 "X66" 1 "2027"
"13178" "M" 47 "X66" 1 "1975.5"
"13179" "M" 48 "X66" 2 "2006.5"
"13180" "M" 49 "X66" 2 "2038.5"
"13181" "M" 50 "X66" 4 "2079"
"13182" "M" 51 "X66" 2 "2099"
"13183" "M" 52 "X66" 5 "1974.5"
"13184" "M" 53 "X66" 3 "1604"
"13185" "M" 54 "X66" 6 "1414.5"
"13186" "M" 55 "X66" 7 "1527.5"
"13187" "M" 56 "X66" 5 "1485.5"
"13188" "M" 57 "X66" 3 "1436.5"
"13189" "M" 58 "X66" 5 "1614.5"
"13190" "M" 59 "X66" 7 "1732.5"
"13191" "M" 60 "X66" 11 "1610.5"
"13192" "M" 61 "X66" 6 "1604.5"
"13193" "M" 62 "X66" 7 "1568.5"
"13194" "M" 63 "X66" 6 "1513"
"13195" "M" 64 "X66" 9 "1524"
"13196" "M" 65 "X66" 14 "1528"
"13197" "M" 66 "X66" 10 "1492.5"
"13198" "M" 67 "X66" 14 "1470"
"13199" "M" 68 "X66" 10 "1600"
"13200" "M" 69 "X66" 11 "1580.5"
"13201" "M" 70 "X66" 9 "1477"
"13202" "M" 71 "X66" 24 "1526.5"
"13203" "M" 72 "X66" 11 "1532.5"
"13204" "M" 73 "X66" 14 "1416.5"
"13205" "M" 74 "X66" 19 "1387.5"
"13206" "M" 75 "X66" 16 "1321"
"13207" "M" 76 "X66" 17 "1221"
"13208" "M" 77 "X66" 19 "1144.5"
"13209" "M" 78 "X66" 12 "1056.5"
"13210" "M" 79 "X66" 10 "872"
"13211" "M" 80 "X66" 11 "561.5"
"13212" "M" 81 "X66" 10 "424"
"13213" "M" 82 "X66" 9 "490"
"13214" "M" 83 "X66" 14 "571"
"13215" "M" 84 "X66" 12 "536.5"
"13216" "M" 85 "X66" 12 "504"
"13217" "M" 86 "X66" 11 "443"
"13218" "M" 87 "X66" 16 "365"
"13219" "M" 88 "X66" 7 "322"
"13220" "M" 89 "X66" 3 "265"
"13221" "M" 90 "X66" 4 "207"
"13222" "M" 91 "X66" 3 "136"
"13223" "M" 92 "X66" 2 "89"
"13224" "M" 93 "X66" 1 "83"
"13225" "M" 94 "X66" 2 "55"
"13226" "M" 95 "X66" 0 "25.5"
"13227" "M" 96 "X66" 3 "15.5"
"13228" "M" 97 "X66" 0 "11.5"
"13229" "M" 98 "X66" 1 "8"
"13230" "M" 99 "X66" 1 "7"
"13231" "M" 100 "X66" 0 "4.5"
"13333" "M" 0 "X67" 0 "1300.5"
"13334" "M" 1 "X67" 0 "1347"
"13335" "M" 2 "X67" 0 "1365"
"13336" "M" 3 "X67" 0 "1345"
"13337" "M" 4 "X67" 0 "1383.5"
"13338" "M" 5 "X67" 0 "1456"
"13339" "M" 6 "X67" 0 "1510.5"
"13340" "M" 7 "X67" 0 "1513.5"
"13341" "M" 8 "X67" 0 "1512.5"
"13342" "M" 9 "X67" 0 "1533.5"
"13343" "M" 10 "X67" 0 "1530"
"13344" "M" 11 "X67" 0 "1509"
"13345" "M" 12 "X67" 0 "1488"
"13346" "M" 13 "X67" 0 "1522"
"13347" "M" 14 "X67" 0 "1619.5"
"13348" "M" 15 "X67" 0 "1690"
"13349" "M" 16 "X67" 0 "1712.5"
"13350" "M" 17 "X67" 0 "1716"
"13351" "M" 18 "X67" 0 "1742.5"
"13352" "M" 19 "X67" 0 "1762.5"
"13353" "M" 20 "X67" 0 "1785.5"
"13354" "M" 21 "X67" 1 "1851"
"13355" "M" 22 "X67" 0 "1920"
"13356" "M" 23 "X67" 0 "1971"
"13357" "M" 24 "X67" 0 "1997"
"13358" "M" 25 "X67" 0 "2028"
"13359" "M" 26 "X67" 0 "2111.5"
"13360" "M" 27 "X67" 0 "2167.5"
"13361" "M" 28 "X67" 0 "2143"
"13362" "M" 29 "X67" 0 "2199.5"
"13363" "M" 30 "X67" 2 "2252.5"
"13364" "M" 31 "X67" 0 "2311.5"
"13365" "M" 32 "X67" 0 "2369.5"
"13366" "M" 33 "X67" 0 "2359.5"
"13367" "M" 34 "X67" 0 "2351"
"13368" "M" 35 "X67" 0 "2303"
"13369" "M" 36 "X67" 1 "2180.5"
"13370" "M" 37 "X67" 1 "2132"
"13371" "M" 38 "X67" 2 "2078.5"
"13372" "M" 39 "X67" 1 "2065.5"
"13373" "M" 40 "X67" 1 "2039.5"
"13374" "M" 41 "X67" 1 "1978"
"13375" "M" 42 "X67" 1 "1958.5"
"13376" "M" 43 "X67" 0 "1917.5"
"13377" "M" 44 "X67" 1 "1889"
"13378" "M" 45 "X67" 1 "1801.5"
"13379" "M" 46 "X67" 1 "1733.5"
"13380" "M" 47 "X67" 2 "1765"
"13381" "M" 48 "X67" 1 "1808"
"13382" "M" 49 "X67" 1 "1825.5"
"13383" "M" 50 "X67" 2 "1860.5"
"13384" "M" 51 "X67" 4 "1865.5"
"13385" "M" 52 "X67" 2 "1795.5"
"13386" "M" 53 "X67" 4 "1609.5"
"13387" "M" 54 "X67" 3 "1481"
"13388" "M" 55 "X67" 2 "1544.5"
"13389" "M" 56 "X67" 4 "1527"
"13390" "M" 57 "X67" 5 "1517"
"13391" "M" 58 "X67" 7 "1604.5"
"13392" "M" 59 "X67" 4 "1724"
"13393" "M" 60 "X67" 9 "1740"
"13394" "M" 61 "X67" 10 "1700.5"
"13395" "M" 62 "X67" 5 "1652.5"
"13396" "M" 63 "X67" 10 "1641"
"13397" "M" 64 "X67" 5 "1617"
"13398" "M" 65 "X67" 13 "1583"
"13399" "M" 66 "X67" 12 "1504"
"13400" "M" 67 "X67" 11 "1516"
"13401" "M" 68 "X67" 12 "1619.5"
"13402" "M" 69 "X67" 13 "1517"
"13403" "M" 70 "X67" 17 "1410"
"13404" "M" 71 "X67" 12 "1386"
"13405" "M" 72 "X67" 18 "1285.5"
"13406" "M" 73 "X67" 15 "1222"
"13407" "M" 74 "X67" 15 "1146"
"13408" "M" 75 "X67" 15 "1077.5"
"13409" "M" 76 "X67" 12 "1006.5"
"13410" "M" 77 "X67" 18 "961.5"
"13411" "M" 78 "X67" 16 "929"
"13412" "M" 79 "X67" 12 "701.5"
"13413" "M" 80 "X67" 8 "460"
"13414" "M" 81 "X67" 6 "372"
"13415" "M" 82 "X67" 6 "420"
"13416" "M" 83 "X67" 11 "490"
"13417" "M" 84 "X67" 19 "451.5"
"13418" "M" 85 "X67" 12 "435.5"
"13419" "M" 86 "X67" 5 "378.5"
"13420" "M" 87 "X67" 7 "283"
"13421" "M" 88 "X67" 6 "246"
"13422" "M" 89 "X67" 5 "192"
"13423" "M" 90 "X67" 3 "124.5"
"13424" "M" 91 "X67" 3 "88.5"
"13425" "M" 92 "X67" 1 "69.5"
"13426" "M" 93 "X67" 4 "58.5"
"13427" "M" 94 "X67" 2 "44.5"
"13428" "M" 95 "X67" 0 "23"
"13429" "M" 96 "X67" 0 "16.5"
"13430" "M" 97 "X67" 0 "11.5"
"13431" "M" 98 "X67" 1 "7"
"13432" "M" 99 "X67" 0 "4.5"
"13433" "M" 100 "X67" 0 "1.5"
"13535" "M" 0 "X68" 0 "1385.5"
"13536" "M" 1 "X68" 0 "1418.5"
"13537" "M" 2 "X68" 1 "1382.5"
"13538" "M" 3 "X68" 0 "1357"
"13539" "M" 4 "X68" 0 "1401"
"13540" "M" 5 "X68" 0 "1456.5"
"13541" "M" 6 "X68" 0 "1522"
"13542" "M" 7 "X68" 0 "1515"
"13543" "M" 8 "X68" 0 "1470"
"13544" "M" 9 "X68" 0 "1474.5"
"13545" "M" 10 "X68" 1 "1493"
"13546" "M" 11 "X68" 0 "1463.5"
"13547" "M" 12 "X68" 0 "1481"
"13548" "M" 13 "X68" 0 "1548.5"
"13549" "M" 14 "X68" 0 "1556"
"13550" "M" 15 "X68" 0 "1586.5"
"13551" "M" 16 "X68" 0 "1588.5"
"13552" "M" 17 "X68" 0 "1552"
"13553" "M" 18 "X68" 0 "1572"
"13554" "M" 19 "X68" 1 "1668"
"13555" "M" 20 "X68" 0 "1816.5"
"13556" "M" 21 "X68" 0 "1907.5"
"13557" "M" 22 "X68" 0 "1966.5"
"13558" "M" 23 "X68" 0 "2030"
"13559" "M" 24 "X68" 0 "2154"
"13560" "M" 25 "X68" 0 "2246"
"13561" "M" 26 "X68" 1 "2233.5"
"13562" "M" 27 "X68" 0 "2277"
"13563" "M" 28 "X68" 0 "2328.5"
"13564" "M" 29 "X68" 0 "2336"
"13565" "M" 30 "X68" 0 "2328.5"
"13566" "M" 31 "X68" 1 "2273"
"13567" "M" 32 "X68" 0 "2319.5"
"13568" "M" 33 "X68" 0 "2430.5"
"13569" "M" 34 "X68" 0 "2497"
"13570" "M" 35 "X68" 0 "2446"
"13571" "M" 36 "X68" 0 "2287.5"
"13572" "M" 37 "X68" 0 "2143.5"
"13573" "M" 38 "X68" 0 "2063.5"
"13574" "M" 39 "X68" 0 "2019.5"
"13575" "M" 40 "X68" 1 "1981"
"13576" "M" 41 "X68" 2 "1962.5"
"13577" "M" 42 "X68" 0 "1937"
"13578" "M" 43 "X68" 2 "1885.5"
"13579" "M" 44 "X68" 0 "1856"
"13580" "M" 45 "X68" 1 "1799.5"
"13581" "M" 46 "X68" 3 "1743"
"13582" "M" 47 "X68" 1 "1751.5"
"13583" "M" 48 "X68" 5 "1777.5"
"13584" "M" 49 "X68" 2 "1826.5"
"13585" "M" 50 "X68" 1 "1870.5"
"13586" "M" 51 "X68" 2 "1923"
"13587" "M" 52 "X68" 2 "1914"
"13588" "M" 53 "X68" 2 "1704"
"13589" "M" 54 "X68" 5 "1564"
"13590" "M" 55 "X68" 6 "1574.5"
"13591" "M" 56 "X68" 5 "1540.5"
"13592" "M" 57 "X68" 7 "1523"
"13593" "M" 58 "X68" 3 "1655.5"
"13594" "M" 59 "X68" 9 "1839.5"
"13595" "M" 60 "X68" 12 "1825"
"13596" "M" 61 "X68" 5 "1753"
"13597" "M" 62 "X68" 11 "1719"
"13598" "M" 63 "X68" 4 "1719"
"13599" "M" 64 "X68" 9 "1668"
"13600" "M" 65 "X68" 11 "1638.5"
"13601" "M" 66 "X68" 10 "1561.5"
"13602" "M" 67 "X68" 17 "1497"
"13603" "M" 68 "X68" 7 "1572"
"13604" "M" 69 "X68" 16 "1496.5"
"13605" "M" 70 "X68" 10 "1408.5"
"13606" "M" 71 "X68" 20 "1407.5"
"13607" "M" 72 "X68" 20 "1349.5"
"13608" "M" 73 "X68" 17 "1334.5"
"13609" "M" 74 "X68" 21 "1250"
"13610" "M" 75 "X68" 12 "1127"
"13611" "M" 76 "X68" 14 "1050.5"
"13612" "M" 77 "X68" 16 "1003.5"
"13613" "M" 78 "X68" 16 "923"
"13614" "M" 79 "X68" 18 "711.5"
"13615" "M" 80 "X68" 10 "485.5"
"13616" "M" 81 "X68" 7 "398.5"
"13617" "M" 82 "X68" 10 "419.5"
"13618" "M" 83 "X68" 17 "483"
"13619" "M" 84 "X68" 11 "478.5"
"13620" "M" 85 "X68" 5 "422"
"13621" "M" 86 "X68" 12 "413"
"13622" "M" 87 "X68" 12 "317.5"
"13623" "M" 88 "X68" 6 "234"
"13624" "M" 89 "X68" 5 "197.5"
"13625" "M" 90 "X68" 5 "125"
"13626" "M" 91 "X68" 2 "101"
"13627" "M" 92 "X68" 5 "82.5"
"13628" "M" 93 "X68" 1 "67"
"13629" "M" 94 "X68" 2 "48.5"
"13630" "M" 95 "X68" 1 "33"
"13631" "M" 96 "X68" 1 "20.5"
"13632" "M" 97 "X68" 1 "12"
"13633" "M" 98 "X68" 0 "5"
"13634" "M" 99 "X68" 0 "5.5"
"13635" "M" 100 "X68" 0 "6"
"13737" "M" 0 "X69" 2 "1625.5"
"13738" "M" 1 "X69" 0 "1667"
"13739" "M" 2 "X69" 0 "1714"
"13740" "M" 3 "X69" 0 "1729.5"
"13741" "M" 4 "X69" 0 "1723.5"
"13742" "M" 5 "X69" 1 "1801.5"
"13743" "M" 6 "X69" 0 "1888.5"
"13744" "M" 7 "X69" 0 "1889"
"13745" "M" 8 "X69" 0 "1873"
"13746" "M" 9 "X69" 0 "1894"
"13747" "M" 10 "X69" 0 "1947"
"13748" "M" 11 "X69" 0 "1880.5"
"13749" "M" 12 "X69" 0 "1924"
"13750" "M" 13 "X69" 0 "2081"
"13751" "M" 14 "X69" 0 "2123.5"
"13752" "M" 15 "X69" 1 "2144.5"
"13753" "M" 16 "X69" 0 "2253"
"13754" "M" 17 "X69" 0 "2323.5"
"13755" "M" 18 "X69" 0 "2324.5"
"13756" "M" 19 "X69" 0 "2395"
"13757" "M" 20 "X69" 1 "2452"
"13758" "M" 21 "X69" 0 "2520"
"13759" "M" 22 "X69" 0 "2602.5"
"13760" "M" 23 "X69" 0 "2686.5"
"13761" "M" 24 "X69" 0 "2762.5"
"13762" "M" 25 "X69" 1 "2783"
"13763" "M" 26 "X69" 0 "2759"
"13764" "M" 27 "X69" 0 "2792"
"13765" "M" 28 "X69" 0 "2767"
"13766" "M" 29 "X69" 0 "2796"
"13767" "M" 30 "X69" 1 "2887.5"
"13768" "M" 31 "X69" 0 "2891"
"13769" "M" 32 "X69" 0 "2927"
"13770" "M" 33 "X69" 0 "2979.5"
"13771" "M" 34 "X69" 1 "2958.5"
"13772" "M" 35 "X69" 1 "2826"
"13773" "M" 36 "X69" 0 "2673.5"
"13774" "M" 37 "X69" 0 "2632.5"
"13775" "M" 38 "X69" 1 "2619"
"13776" "M" 39 "X69" 1 "2575.5"
"13777" "M" 40 "X69" 0 "2517.5"
"13778" "M" 41 "X69" 2 "2479.5"
"13779" "M" 42 "X69" 0 "2487.5"
"13780" "M" 43 "X69" 2 "2489"
"13781" "M" 44 "X69" 2 "2456"
"13782" "M" 45 "X69" 1 "2396"
"13783" "M" 46 "X69" 4 "2403"
"13784" "M" 47 "X69" 0 "2450.5"
"13785" "M" 48 "X69" 2 "2582"
"13786" "M" 49 "X69" 4 "2756.5"
"13787" "M" 50 "X69" 2 "2699.5"
"13788" "M" 51 "X69" 4 "2583"
"13789" "M" 52 "X69" 7 "2583.5"
"13790" "M" 53 "X69" 3 "2224.5"
"13791" "M" 54 "X69" 3 "1999.5"
"13792" "M" 55 "X69" 1 "2008.5"
"13793" "M" 56 "X69" 6 "1914"
"13794" "M" 57 "X69" 4 "2006"
"13795" "M" 58 "X69" 5 "2180.5"
"13796" "M" 59 "X69" 9 "2341"
"13797" "M" 60 "X69" 6 "2283"
"13798" "M" 61 "X69" 9 "2187"
"13799" "M" 62 "X69" 17 "2136.5"
"13800" "M" 63 "X69" 7 "2153"
"13801" "M" 64 "X69" 14 "2178"
"13802" "M" 65 "X69" 26 "2186"
"13803" "M" 66 "X69" 20 "2131.5"
"13804" "M" 67 "X69" 11 "2065"
"13805" "M" 68 "X69" 19 "2175"
"13806" "M" 69 "X69" 19 "2071"
"13807" "M" 70 "X69" 29 "1897"
"13808" "M" 71 "X69" 25 "1904"
"13809" "M" 72 "X69" 13 "1859"
"13810" "M" 73 "X69" 21 "1775.5"
"13811" "M" 74 "X69" 31 "1649.5"
"13812" "M" 75 "X69" 24 "1544.5"
"13813" "M" 76 "X69" 23 "1510.5"
"13814" "M" 77 "X69" 24 "1490"
"13815" "M" 78 "X69" 19 "1454"
"13816" "M" 79 "X69" 24 "1145.5"
"13817" "M" 80 "X69" 12 "707.5"
"13818" "M" 81 "X69" 11 "573.5"
"13819" "M" 82 "X69" 12 "621.5"
"13820" "M" 83 "X69" 24 "752"
"13821" "M" 84 "X69" 17 "721.5"
"13822" "M" 85 "X69" 13 "585.5"
"13823" "M" 86 "X69" 16 "559.5"
"13824" "M" 87 "X69" 6 "438"
"13825" "M" 88 "X69" 5 "361.5"
"13826" "M" 89 "X69" 6 "298.5"
"13827" "M" 90 "X69" 7 "208.5"
"13828" "M" 91 "X69" 5 "153.5"
"13829" "M" 92 "X69" 1 "115.5"
"13830" "M" 93 "X69" 3 "98"
"13831" "M" 94 "X69" 4 "51"
"13832" "M" 95 "X69" 0 "26.5"
"13833" "M" 96 "X69" 0 "19.5"
"13834" "M" 97 "X69" 0 "16.5"
"13835" "M" 98 "X69" 0 "9.5"
"13836" "M" 99 "X69" 0 "5.5"
"13837" "M" 100 "X69" 0 "5"
"13939" "M" 0 "X70" 0 "1076.5"
"13940" "M" 1 "X70" 0 "1060"
"13941" "M" 2 "X70" 0 "1049"
"13942" "M" 3 "X70" 0 "1063"
"13943" "M" 4 "X70" 0 "1114"
"13944" "M" 5 "X70" 0 "1153.5"
"13945" "M" 6 "X70" 0 "1221"
"13946" "M" 7 "X70" 0 "1241.5"
"13947" "M" 8 "X70" 0 "1225.5"
"13948" "M" 9 "X70" 0 "1215"
"13949" "M" 10 "X70" 0 "1216.5"
"13950" "M" 11 "X70" 0 "1250"
"13951" "M" 12 "X70" 0 "1265"
"13952" "M" 13 "X70" 0 "1270"
"13953" "M" 14 "X70" 0 "1279.5"
"13954" "M" 15 "X70" 0 "1341"
"13955" "M" 16 "X70" 0 "1399"
"13956" "M" 17 "X70" 0 "1430"
"13957" "M" 18 "X70" 0 "1430"
"13958" "M" 19 "X70" 0 "1440"
"13959" "M" 20 "X70" 1 "1498"
"13960" "M" 21 "X70" 0 "1521"
"13961" "M" 22 "X70" 0 "1570.5"
"13962" "M" 23 "X70" 0 "1657.5"
"13963" "M" 24 "X70" 0 "1708"
"13964" "M" 25 "X70" 0 "1692.5"
"13965" "M" 26 "X70" 0 "1641"
"13966" "M" 27 "X70" 0 "1646"
"13967" "M" 28 "X70" 0 "1694"
"13968" "M" 29 "X70" 0 "1749"
"13969" "M" 30 "X70" 0 "1729.5"
"13970" "M" 31 "X70" 0 "1705.5"
"13971" "M" 32 "X70" 0 "1733.5"
"13972" "M" 33 "X70" 0 "1779"
"13973" "M" 34 "X70" 0 "1824.5"
"13974" "M" 35 "X70" 0 "1776.5"
"13975" "M" 36 "X70" 1 "1704.5"
"13976" "M" 37 "X70" 0 "1727.5"
"13977" "M" 38 "X70" 1 "1732.5"
"13978" "M" 39 "X70" 1 "1647.5"
"13979" "M" 40 "X70" 0 "1524.5"
"13980" "M" 41 "X70" 0 "1519.5"
"13981" "M" 42 "X70" 1 "1583"
"13982" "M" 43 "X70" 0 "1583"
"13983" "M" 44 "X70" 1 "1556"
"13984" "M" 45 "X70" 2 "1485"
"13985" "M" 46 "X70" 2 "1469"
"13986" "M" 47 "X70" 2 "1441"
"13987" "M" 48 "X70" 1 "1465"
"13988" "M" 49 "X70" 5 "1596.5"
"13989" "M" 50 "X70" 4 "1636.5"
"13990" "M" 51 "X70" 3 "1535"
"13991" "M" 52 "X70" 2 "1447"
"13992" "M" 53 "X70" 1 "1291"
"13993" "M" 54 "X70" 5 "1123.5"
"13994" "M" 55 "X70" 3 "1111"
"13995" "M" 56 "X70" 3 "1057.5"
"13996" "M" 57 "X70" 5 "1094"
"13997" "M" 58 "X70" 6 "1261.5"
"13998" "M" 59 "X70" 4 "1388"
"13999" "M" 60 "X70" 8 "1333"
"14000" "M" 61 "X70" 9 "1263.5"
"14001" "M" 62 "X70" 7 "1265"
"14002" "M" 63 "X70" 8 "1305.5"
"14003" "M" 64 "X70" 8 "1348.5"
"14004" "M" 65 "X70" 5 "1361"
"14005" "M" 66 "X70" 12 "1330"
"14006" "M" 67 "X70" 9 "1322.5"
"14007" "M" 68 "X70" 14 "1350"
"14008" "M" 69 "X70" 11 "1247"
"14009" "M" 70 "X70" 13 "1147"
"14010" "M" 71 "X70" 12 "1157"
"14011" "M" 72 "X70" 25 "1142.5"
"14012" "M" 73 "X70" 17 "1074"
"14013" "M" 74 "X70" 11 "965.5"
"14014" "M" 75 "X70" 13 "919"
"14015" "M" 76 "X70" 12 "897.5"
"14016" "M" 77 "X70" 11 "875"
"14017" "M" 78 "X70" 10 "861"
"14018" "M" 79 "X70" 11 "631"
"14019" "M" 80 "X70" 6 "364.5"
"14020" "M" 81 "X70" 6 "300.5"
"14021" "M" 82 "X70" 3 "349"
"14022" "M" 83 "X70" 11 "433.5"
"14023" "M" 84 "X70" 9 "437.5"
"14024" "M" 85 "X70" 6 "371.5"
"14025" "M" 86 "X70" 10 "320"
"14026" "M" 87 "X70" 6 "265.5"
"14027" "M" 88 "X70" 6 "235"
"14028" "M" 89 "X70" 5 "178.5"
"14029" "M" 90 "X70" 4 "132.5"
"14030" "M" 91 "X70" 3 "102.5"
"14031" "M" 92 "X70" 2 "63.5"
"14032" "M" 93 "X70" 2 "55.5"
"14033" "M" 94 "X70" 0 "36.5"
"14034" "M" 95 "X70" 1 "17.5"
"14035" "M" 96 "X70" 1 "20"
"14036" "M" 97 "X70" 0 "15.5"
"14037" "M" 98 "X70" 0 "8.5"
"14038" "M" 99 "X70" 0 "1.5"
"14039" "M" 100 "X70" 0 "2"
"14141" "M" 0 "X71" 0 "4128"
"14142" "M" 1 "X71" 0 "4110.5"
"14143" "M" 2 "X71" 0 "4043"
"14144" "M" 3 "X71" 0 "4045.5"
"14145" "M" 4 "X71" 1 "4167.5"
"14146" "M" 5 "X71" 0 "4327"
"14147" "M" 6 "X71" 0 "4454.5"
"14148" "M" 7 "X71" 0 "4447"
"14149" "M" 8 "X71" 0 "4450"
"14150" "M" 9 "X71" 1 "4485.5"
