"sex" "age" "prov" "n" "E"
"247" "M" 44 "X2" 2 "1207.5"
"248" "M" 45 "X2" 3 "1175.5"
"249" "M" 46 "X2" 1 "1234"
"250" "M" 47 "X2" 2 "1239.5"
"251" "M" 48 "X2" 2 "1256.5"
"252" "M" 49 "X2" 1 "1272.5"
"253" "M" 50 "X2" 1 "1306"
"254" "M" 51 "X2" 4 "1325"
"255" "M" 52 "X2" 2 "1264"
"256" "M" 53 "X2" 3 "1073.5"
"257" "M" 54 "X2" 4 "973"
"258" "M" 55 "X2" 2 "985.5"
"259" "M" 56 "X2" 5 "985"
"260" "M" 57 "X2" 2 "1049"
"261" "M" 58 "X2" 4 "1159"
"262" "M" 59 "X2" 5 "1243.5"
"263" "M" 60 "X2" 7 "1229"
"264" "M" 61 "X2" 11 "1179.5"
"265" "M" 62 "X2" 5 "1133"
"266" "M" 63 "X2" 7 "1136.5"
"267" "M" 64 "X2" 13 "1138"
"268" "M" 65 "X2" 12 "1119"
"269" "M" 66 "X2" 13 "1101.5"
"270" "M" 67 "X2" 3 "1117"
"271" "M" 68 "X2" 21 "1136"
"272" "M" 69 "X2" 18 "1067"
"273" "M" 70 "X2" 13 "1006"
"274" "M" 71 "X2" 10 "964.5"
"275" "M" 72 "X2" 15 "903.5"
"276" "M" 73 "X2" 10 "855"
"277" "M" 74 "X2" 15 "782"
"278" "M" 75 "X2" 10 "780.5"
"279" "M" 76 "X2" 22 "765"
"280" "M" 77 "X2" 15 "677.5"
"281" "M" 78 "X2" 13 "626"
"282" "M" 79 "X2" 10 "453"
"283" "M" 80 "X2" 3 "263"
"284" "M" 81 "X2" 7 "214.5"
"285" "M" 82 "X2" 5 "254"
"286" "M" 83 "X2" 9 "319"
"287" "M" 84 "X2" 7 "335"
"288" "M" 85 "X2" 12 "301.5"
"289" "M" 86 "X2" 4 "248.5"
"290" "M" 87 "X2" 6 "198"
"291" "M" 88 "X2" 5 "168.5"
"292" "M" 89 "X2" 4 "140"
"293" "M" 90 "X2" 4 "104.5"
"294" "M" 91 "X2" 2 "81"
"295" "M" 92 "X2" 0 "63.5"
"296" "M" 93 "X2" 2 "52"
"297" "M" 94 "X2" 1 "32.5"
"298" "M" 95 "X2" 0 "20"
"299" "M" 96 "X2" 0 "13.5"
